# #stocks, #noise, #price, #walk, #action
58800,-6,0.15999999999999992,-13,buy
58796,10,0.19999999999999996,-3,sell
58799,-33,0.05999999999999992,-36,buy
58794,-21,0.25,-57,buy
58790,-33,0.3400000000000001,-90,buy
58784,12,0.4500000000000002,-78,sell
58787,-2,0.28,-80,buy
58786,-7,0.3600000000000001,-87,buy
58784,-3,0.42000000000000015,-90,buy
58781,10,0.4600000000000002,-80,sell
58784,-7,0.3400000000000001,-87,buy
58781,-4,0.4600000000000002,-91,buy
58778,24,0.5100000000000002,-67,sell
58782,19,0.3400000000000001,-48,sell
58786,30,0.25,-18,sell
58791,10,0.1499999999999999,-8,sell
58793,3,0.08999999999999991,-5,sell
58795,-22,0.06999999999999992,-27,buy
58791,5,0.25,-22,sell
58793,11,0.1399999999999999,-11,sell
58796,12,0.05999999999999992,1,sell
58800,-2,0.009999999999999913,-1,buy
58799,24,0.09999999999999991,23,sell
58803,14,-0.08000000000000008,37,sell
58809,-27,-0.13000000000000006,10,buy
58804,15,0.039999999999999925,25,sell
58807,-24,-0.11000000000000007,1,buy
58803,-24,0.06999999999999992,-23,buy
58799,-26,0.16999999999999993,-49,buy
58793,-2,0.26,-51,buy
58791,-3,0.31000000000000005,-54,buy
58790,-18,0.3400000000000001,-72,buy
58786,10,0.42000000000000015,-62,sell
58789,-16,0.28,-78,buy
58785,25,0.43000000000000016,-53,sell
58790,6,0.24,-47,sell
58792,19,0.17999999999999994,-28,sell
58795,19,0.08999999999999991,-9,sell
58801,-3,0.019999999999999914,-12,buy
58800,-20,0.1099999999999999,-32,buy
58796,40,0.20999999999999996,8,sell
58801,-8,-0.010000000000000087,0,buy
58798,-14,0.1499999999999999,-14,buy
58795,1,0.24,-13,sell
58796,-29,0.1399999999999999,-42,buy
58790,14,0.32000000000000006,-28,sell
58794,-47,0.16999999999999993,-75,buy
58787,8,0.3900000000000001,-67,sell
58789,1,0.26,-66,sell
58790,2,0.24,-64,sell
58791,26,0.20999999999999996,-38,sell
58795,-19,0.09999999999999991,-57,buy
58792,7,0.28,-50,sell
58795,-24,0.1299999999999999,-74,buy
58791,-26,0.30000000000000004,-100,buy
58786,21,0.40000000000000013,-79,sell
58789,33,0.25,-46,sell
58795,-10,0.1299999999999999,-56,buy
58792,7,0.25,-49,sell
58795,-29,0.1299999999999999,-78,buy
58790,28,0.31000000000000005,-50,sell
58795,6,0.1299999999999999,-44,sell
58798,-17,0.05999999999999992,-61,buy
58795,4,0.20999999999999996,-57,sell
58796,34,0.09999999999999991,-23,sell
58802,-20,-0.020000000000000087,-43,buy
58798,-12,0.15999999999999992,-55,buy
58795,7,0.22999999999999998,-48,sell
58797,-15,0.1099999999999999,-63,buy
58793,28,0.26,-35,sell
58798,10,0.06999999999999992,-25,sell
58801,8,0.009999999999999913,-17,sell
58803,-5,-0.060000000000000095,-22,buy
58801,-9,0.06999999999999992,-31,buy
58798,-17,0.1499999999999999,-48,buy
58794,-6,0.25,-54,buy
58792,22,0.30000000000000004,-32,sell
58796,-5,0.1199999999999999,-37,buy
58794,1,0.22999999999999998,-36,sell
58795,-22,0.1399999999999999,-58,buy
58790,32,0.32000000000000006,-26,sell
58796,9,0.1299999999999999,-17,sell
58799,-25,0.04999999999999992,-42,buy
58795,32,0.22999999999999998,-10,sell
58800,54,0.029999999999999916,44,sell
58809,27,-0.13000000000000006,71,sell
58814,-47,-0.2600000000000002,24,buy
58809,36,-0.040000000000000084,60,sell
