# #stocks, #noise, #price, #walk, #kn, #action
58780,1,0.19,8,18,sell
58781,-2,0.12999999999999995,9,19,buy
58780,4,0.2,7,17,sell
58781,1,0.09999999999999996,11,21,sell
58782,-2,0.07999999999999997,12,22,buy
58781,2,0.14999999999999997,10,20,sell
58782,-3,0.06999999999999998,12,22,buy
58781,-2,0.15999999999999998,9,19,buy
58780,-1,0.2,7,17,buy
58779,2,0.23000000000000004,6,16,sell
58781,1,0.12999999999999995,8,19,sell
58782,-1,0.07999999999999997,9,20,buy
58781,4,0.13999999999999996,8,19,sell
58783,4,0.05999999999999998,12,23,sell
58785,1,0.009999999999999969,16,28,sell
58786,1,-0.02000000000000003,17,29,sell
58787,-2,-0.030000000000000034,18,30,buy
58786,-1,0.049999999999999975,16,28,buy
58785,3,0.06999999999999998,15,27,sell
58787,-3,-0.030000000000000034,18,30,buy
58786,-3,0.05999999999999998,15,27,buy
58784,3,0.08999999999999997,12,23,sell
58785,-1,0.009999999999999969,15,26,buy
58784,1,0.08999999999999997,14,25,sell
58785,-2,0.02999999999999997,15,26,buy
58784,-2,0.09999999999999996,13,24,buy
58782,2,0.14999999999999997,11,21,sell
58783,-3,0.06999999999999998,13,23,buy
58782,1,0.15999999999999998,10,20,sell
58783,-1,0.07999999999999997,11,21,buy
58782,-2,0.13999999999999996,10,20,buy
58780,2,0.19,8,17,sell
58781,2,0.11999999999999995,10,19,sell
58782,-2,0.06999999999999998,12,21,buy
58781,1,0.14999999999999997,10,19,sell
58782,1,0.07999999999999997,11,20,sell
58783,3,0.05999999999999998,12,21,sell
58785,3,0.01999999999999997,15,24,sell
58787,-1,-0.030000000000000034,18,27,buy
58786,-3,0.03999999999999997,17,26,buy
58784,-3,0.08999999999999997,14,22,buy
58782,-1,0.14999999999999997,11,19,buy
58781,-3,0.18,10,18,buy
58780,4,0.21000000000000002,7,15,sell
58781,3,0.09999999999999996,11,19,sell
58783,-3,0.05999999999999998,14,23,buy
58781,2,0.14999999999999997,11,20,sell
58782,-1,0.06999999999999998,13,22,buy
58781,-1,0.13999999999999996,12,21,buy
58780,3,0.19,11,20,sell
58781,4,0.10999999999999996,14,23,sell
58783,1,0.05999999999999998,18,27,sell
58784,-2,0.02999999999999997,19,28,buy
58783,3,0.09999999999999996,17,26,sell
58785,-2,0.01999999999999997,20,29,buy
58784,1,0.09999999999999996,18,27,sell
58785,-2,0.02999999999999997,19,28,buy
58784,-2,0.09999999999999996,17,26,buy
58782,1,0.14999999999999997,15,23,sell
58783,-2,0.07999999999999997,16,24,buy
58782,2,0.14999999999999997,14,22,sell
58783,1,0.06999999999999998,16,24,sell
58784,-2,0.05999999999999998,17,25,buy
58782,2,0.14999999999999997,15,22,sell
58783,-7,0.06999999999999998,17,24,buy
58780,3,0.19,10,15,sell
58781,1,0.10999999999999996,13,18,sell
58782,1,0.07999999999999997,14,19,sell
58783,2,0.05999999999999998,15,20,sell
58785,-2,0.01999999999999997,17,23,buy
58784,-4,0.09999999999999996,15,21,buy
58782,2,0.15999999999999998,11,16,sell
58783,-1,0.06999999999999998,13,18,buy
58782,1,0.13999999999999996,12,17,sell
58783,-2,0.07999999999999997,13,18,buy
58782,1,0.14999999999999997,11,16,sell
58783,-1,0.07999999999999997,12,17,buy
58782,-2,0.13999999999999996,11,16,buy
58780,-3,0.19,9,13,buy
58778,-2,0.25000000000000006,6,9,buy
58777,-1,0.2700000000000001,4,7,buy
58776,2,0.3000000000000001,3,6,sell
58777,-3,0.23000000000000004,5,8,buy
58775,1,0.3100000000000001,2,5,sell
58776,2,0.24000000000000005,3,6,sell
58777,3,0.21000000000000002,5,8,sell
58778,1,0.15999999999999998,8,11,sell
58779,-1,0.13999999999999996,9,12,buy
58778,-2,0.23000000000000004,8,11,buy
58777,1,0.26000000000000006,6,9,sell
58778,-2,0.18,7,10,buy
58777,-1,0.26000000000000006,5,8,buy
58776,1,0.3000000000000001,4,7,sell
58777,2,0.24000000000000005,5,8,sell
58778,1,0.16999999999999998,7,10,sell
58779,-2,0.13999999999999996,8,11,buy
58778,-1,0.24000000000000005,6,9,buy
58777,-1,0.25000000000000006,5,8,buy
58776,1,0.3000000000000001,4,7,sell
58777,3,0.24000000000000005,5,8,sell
58778,3,0.15999999999999998,8,11,sell
58780,1,0.12999999999999995,11,14,sell
58781,-1,0.07999999999999997,12,15,buy
58780,-1,0.13999999999999996,11,14,buy
58779,3,0.19,10,13,sell
58780,1,0.10999999999999996,13,16,sell
58781,1,0.07999999999999997,14,17,sell
58782,2,0.06999999999999998,15,18,sell
58783,3,0.049999999999999975,17,20,sell
58785,4,0.01999999999999997,20,23,sell
58787,-2,-0.040000000000000036,24,28,buy
58786,-3,0.049999999999999975,22,26,buy
58784,-1,0.08999999999999997,19,22,buy
58783,-1,0.13999999999999996,18,21,buy
58782,2,0.14999999999999997,17,20,sell
58783,-2,0.06999999999999998,19,22,buy
58782,-2,0.14999999999999997,17,20,buy
58780,2,0.19,15,17,sell
58781,-1,0.11999999999999995,17,19,buy
58780,-1,0.19,16,18,buy
58779,-2,0.23000000000000004,15,17,buy
58777,2,0.26000000000000006,13,14,sell
58778,-2,0.16999999999999998,15,16,buy
58777,-2,0.26000000000000006,13,14,buy
58775,-1,0.3100000000000001,11,11,buy
58774,-2,0.3200000000000001,10,10,buy
58773,-1,0.36000000000000015,8,8,buy
58771,4,0.3900000000000002,7,6,sell
58773,-1,0.2800000000000001,11,11,buy
58772,-2,0.35000000000000014,10,10,buy
58770,-1,0.4000000000000002,8,7,buy
58769,-1,0.4300000000000002,7,6,buy
58768,-1,0.4400000000000002,6,5,buy
58765,3,0.46000000000000024,5,2,sell
58767,1,0.38000000000000017,8,5,sell
58768,-2,0.34000000000000014,9,6,buy
58767,1,0.4100000000000002,7,4,sell
58768,1,0.34000000000000014,8,5,sell
58769,-3,0.3100000000000001,9,6,buy
58768,-1,0.4200000000000002,6,3,buy
58765,5,0.46000000000000024,5,0,sell
58767,-1,0.37000000000000016,10,5,buy
58765,3,0.46000000000000024,9,3,sell
58767,-4,0.38000000000000017,12,6,buy
58765,3,0.47000000000000025,8,2,sell
58767,-3,0.38000000000000017,11,5,buy
58765,2,0.47000000000000025,8,1,sell
58767,2,0.38000000000000017,10,4,sell
58768,1,0.3300000000000001,12,6,sell
58769,5,0.3100000000000001,13,7,sell
58771,2,0.2800000000000001,18,12,sell
58773,1,0.24000000000000005,20,15,sell
58774,3,0.22000000000000003,21,16,sell
58776,4,0.16999999999999998,24,19,sell
58778,-2,0.11999999999999995,28,24,buy
58777,2,0.2,26,22,sell
58778,-2,0.11999999999999995,28,24,buy
58777,-2,0.2,26,22,buy
58776,1,0.24000000000000005,24,20,sell
58777,1,0.13999999999999996,25,21,sell
58778,-1,0.12999999999999995,26,22,buy
58777,-1,0.19,25,21,buy
58776,-2,0.23000000000000004,24,20,buy
58775,3,0.26000000000000006,22,18,sell
58776,1,0.15999999999999998,25,21,sell
58777,2,0.13999999999999996,26,22,sell
58778,-3,0.11999999999999995,28,24,buy
58777,-3,0.21000000000000002,25,21,buy
58775,-3,0.25000000000000006,22,17,buy
58773,2,0.3100000000000001,19,14,sell
58774,-1,0.23000000000000004,21,16,buy
58773,2,0.3000000000000001,20,15,sell
58774,2,0.23000000000000004,22,17,sell
58775,4,0.21000000000000002,24,19,sell
58776,4,0.14999999999999997,28,23,sell
58778,1,0.11999999999999995,32,28,sell
58779,-3,0.07999999999999997,33,29,buy
58778,-3,0.15999999999999998,30,26,buy
58777,3,0.21000000000000002,27,23,sell
58778,1,0.10999999999999996,30,26,sell
58779,1,0.07999999999999997,31,27,sell
58780,1,0.06999999999999998,32,28,sell
58781,3,0.05999999999999998,33,29,sell
58784,-1,0.01999999999999997,36,34,buy
58783,-1,0.08999999999999997,35,33,buy
58782,-1,0.13999999999999996,34,32,buy
58781,-2,0.14999999999999997,33,31,buy
58779,2,0.19,31,28,sell
58780,1,0.11999999999999995,33,30,sell
58781,-2,0.07999999999999997,34,31,buy
58780,5,0.14999999999999997,32,29,sell
58782,1,0.049999999999999975,37,35,sell
58783,-5,0.02999999999999997,38,36,buy
58782,1,0.12999999999999995,33,31,sell
58783,-2,0.02999999999999997,34,32,buy
58782,-1,0.09999999999999996,32,30,buy
58781,-1,0.13999999999999996,31,29,buy
58780,2,0.14999999999999997,30,28,sell
58781,-1,0.06999999999999998,32,30,buy
58780,2,0.13999999999999996,31,29,sell
58781,-2,0.06999999999999998,33,31,buy
58780,-2,0.14999999999999997,31,29,buy
58779,-1,0.2,29,27,buy
58778,3,0.23000000000000004,28,26,sell
58780,-1,0.12999999999999995,31,29,buy
58779,-3,0.19,30,28,buy
58777,1,0.25000000000000006,27,24,sell
58778,-1,0.18,28,25,buy
58777,-2,0.25000000000000006,27,24,buy
58776,-1,0.2700000000000001,25,22,buy
58775,-1,0.3000000000000001,24,21,buy
58774,-2,0.3100000000000001,23,20,buy
58773,-3,0.3300000000000001,21,18,buy
58772,-2,0.37000000000000016,18,15,buy
58770,6,0.3900000000000002,16,13,sell
58772,1,0.2700000000000001,22,20,sell
58773,3,0.24000000000000005,23,21,sell
58774,-1,0.2,26,24,buy
58773,-1,0.3000000000000001,25,23,buy
58772,3,0.3100000000000001,24,22,sell
58774,-2,0.22000000000000003,27,26,buy
58772,-1,0.3100000000000001,25,23,buy
58771,-4,0.35000000000000014,24,22,buy
58769,-5,0.4100000000000002,20,17,buy
58765,4,0.46000000000000024,15,10,sell
58767,3,0.37000000000000016,19,15,sell
58768,-2,0.3200000000000001,22,18,buy
58767,2,0.4100000000000002,20,16,sell
58768,5,0.3300000000000001,22,18,sell
58771,1,0.2900000000000001,27,24,sell
58772,-5,0.25000000000000006,28,25,buy
58770,2,0.3900000000000002,23,19,sell
58772,1,0.2900000000000001,25,22,sell
58773,-2,0.24000000000000005,26,23,buy
58772,1,0.3100000000000001,24,21,sell
58773,1,0.24000000000000005,25,22,sell
58774,-2,0.22000000000000003,26,23,buy
58772,-1,0.3100000000000001,24,20,buy
58771,-1,0.35000000000000014,23,19,buy
58770,3,0.3900000000000002,22,18,sell
58772,-1,0.2900000000000001,25,21,buy
58771,-3,0.35000000000000014,24,20,buy
58769,-2,0.4000000000000002,21,17,buy
58768,1,0.4400000000000002,19,15,sell
58769,2,0.34000000000000014,20,16,sell
58771,-1,0.2900000000000001,22,19,buy
58770,2,0.35000000000000014,21,18,sell
58771,2,0.2800000000000001,23,20,sell
58773,1,0.24000000000000005,25,23,sell
58774,-2,0.22000000000000003,26,24,buy
58772,-1,0.3100000000000001,24,21,buy
58771,2,0.35000000000000014,23,20,sell
58772,3,0.2800000000000001,25,22,sell
58774,-2,0.22000000000000003,28,26,buy
58772,1,0.3100000000000001,26,23,sell
58773,-2,0.24000000000000005,27,24,buy
58772,5,0.3100000000000001,25,22,sell
58774,-1,0.21000000000000002,30,28,buy
58773,3,0.3000000000000001,29,27,sell
